code,name,lat,lon
967,אבו גווייעד שבט,,
472,אבו גוש,31.806291,35.109195
473,אבו סנאן,32.958029,35.17197
958,אבו עבדון שבט,31.302815,34.842593
968,אבו קורינאת שבט,31.103114,34.952004
1342,אבו קרינאת יישוב,,
966,אבו רובייעה שבט,,
961,אבו רוקייק שבט,31.259539,34.863898
1375,אבו תלול,,
652,אבטין,32.759962,35.114603
1275,אבטליון,32.83578,35.350443
679,אביאל,32.531345,34.993494
1115,אביבים,33.08938,35.47034
819,אביגדור,31.7119,34.740371
175,אביחיל,32.350707,34.871231
2052,אביטל,31.88962,35.022604
1070,אביעזר,31.681995,35.018823
1220,אבירים,33.038085,35.286046
182,אבן יהודה,32.276647,34.885089
1081,אבן מנחם,33.075142,35.29522
783,אבן ספיר,31.762499,35.134993
400,אבן שמואל,31.809997,35.195002
4011,אבני איתן,32.825618,35.766802
3793,אבני חפץ,32.284627,35.074553
1311,אבשלום,31.195395,34.331201
3759,אדורה,31.552218,35.017635
113,אדירים,31.652752,35.23263
1068,אדמית,33.078842,35.209512
1123,אדרת,31.659714,34.994441
446,אודים,32.266864,34.846996
4010,אודם,31.737287,35.18109
1046,אוהד,31.877566,35.126954
2710,אום אלפחם,,
2024,אום אלקוטוף,,
1358,אום בטין,31.281259,34.884031
1108,אומן,48.752611,30.217967
680,אומץ,32.369215,34.99313
31,אופקים,31.311336,34.622825
1294,אור הגנוז,33.005182,35.446738
67,אור הנר,31.556196,34.602307
2400,אור יהודה,32.029747,34.856174
1020,אור עקיבא,32.509964,34.920395
780,אורה,31.752108,35.150166
2012,אורות,31.740363,34.735601
4013,אורטל,33.086235,35.758662
403,אורים,31.304093,34.524869
3760,אורנית,32.131923,34.990812
278,אושה,32.796457,35.114585
565,אזור,32.029557,34.79965
1157,אחווה,31.753934,35.309725
821,אחוזם,31.552681,34.770152
1330,אחוזת ברק,32.6431,35.338895
785,אחיהוד,32.907404,35.171717
850,אחיטוב,32.3877,34.990828
804,אחיסמך,31.931905,34.908577
797,אחיעזר,31.98167,34.871822
965,אטרש שבט,31.28122,34.912372
338,איבים,31.5335972,34.6096972
716,אייל,32.21071,34.978261
77,איילת השחר,33.021114,35.576734
294,אילון,33.062525,35.219164
1126,אילות,32.104201,35.183045
49,אילניה,32.753907,35.40819
2600,אילת,29.557668,34.951926
1336,אירוס,,
3762,איתמר,32.173868,35.30803
37,איתן,31.854322,35.214125
478,אכסאל,32.682084,35.320745
1359,אל סייד,,
1316,אלעריאן,,
4003,אלרום,,
1145,אלומה,31.65204,34.742874
330,אלומות,32.706627,35.546089
1182,אלון הגליל,32.756873,35.220295
3579,אלון מורה,32.234417,35.331203
3604,אלון שבות,31.65487,35.125257
429,אלוני אבא,32.730944,35.17203
4017,אלוני הבשן,33.044086,35.838509
868,אלוני יצחק,32.5099972,35.0052
285,אלונים,32.721458,35.143401
4002,אליעד,,
1365,אליאב,,
41,אליכין,32.407658,34.925029
1248,אליפז,29.796247,35.012095
730,אליפלט,32.947833,35.548518
682,אליקים,32.633344,35.067615
204,אלישיב,32.380195,34.909946
841,אלישמע,32.154777,34.930463
1125,אלמגור,32.912708,35.602312
3556,אלמוג,31.728415,35.190167
1309,אלעד,32.049529,34.950751
3618,אלעזר,31.659674,35.143075
3750,אלפי מנשה,32.17063,35.014859
603,אלקוש,33.034293,35.326349
3560,אלקנה,32.057858,35.257676
772,אמונים,31.743884,34.674493
1064,אמירים,32.93735,35.450366
1253,אמנון,32.904988,35.571138
23,אמציה,31.531175,34.914465
4012,אניעם,32.956637,35.73972
960,אסד שבט,31.332163,34.860439
3754,אספר,31.586151,35.187596
529,אעבלין,32.821799,35.190122
963,אעצם שבט,31.295815,34.903104
4301,אפיק,32.779427,35.702996
176,אפיקים,32.680563,35.577732
313,אפק,32.838315,35.127781
3650,אפרת,,
701,ארבל,32.171995,35.010681
3598,ארגמן,32.173339,35.522287
714,ארז,31.559838,34.56489
3570,אריאל,32.104636,35.174515
1324,ארסוף,32.212839,34.815979
71,אשבול,31.83197,35.29536
70,אשדוד,31.80438,34.655316
199,אשדות יעקב איחוד,32.658769,35.579639
188,אשדות יעקב מאוחד,32.664807,35.58277
1188,אשחר,32.885083,35.299623
3722,אשכולות,31.39117,34.904857
2021,אשל הנשיא,31.3268278,34.6974972
1152,אשלים,30.964244,34.699675
7100,אשקלון,31.665944,34.559466
1256,אשרת,32.971645,35.155702
740,אשתאול,31.780384,35.010104
